"행정구역","2026년07월_거주자 인구수","2026년07월_세대수","2026년07월_세대당 인구","2026년07월_남자 인구수","2026년07월_여자 인구수","2026년07월_남여 비율"
"부산광역시 강서구 (2644000000)","153,826","66,661","          2.31","79,467","74,359","          1.07"
"부산광역시 연제구 (2647000000)","210,923","100,570","          2.10","100,307","110,616","          0.91"
"부산광역시 수영구 (2650000000)","167,985","87,501","          1.92","78,597","89,388","          0.88"
"부산광역시 사상구 (2653000000)","191,580","98,056","          1.95","95,468","96,112","          0.99"
"부산광역시 기장군 (2671000000)","174,932","80,461","          2.17","86,696","88,236","          0.98"
"대구광역시  (2700000000)","2,340,047","1,116,735","          2.10","1,144,486","1,195,561","          0.96"
"대구광역시 중구 (2711000000)","101,295","50,796","          1.99","48,349","52,946","          0.91"
"대구광역시 동구 (2714000000)","337,352","165,802","          2.03","164,502","172,850","          0.95"
"대구광역시 서구 (2717000000)","162,799","85,117","          1.91","80,400","82,399","          0.98"
"대구광역시 남구 (2720000000)","140,852","78,415","          1.80","66,868","73,984","          0.90"
"대구광역시 북구 (2723000000)","405,511","193,476","          2.10","200,306","205,205","          0.98"
"대구광역시 수성구 (2726000000)","406,574","177,094","          2.30","195,036","211,538","          0.92"
"대구광역시 달서구 (2729000000)","511,591","238,980","          2.14","249,937","261,654","          0.96"
"대구광역시 달성군 (2771000000)","251,569","113,577","          2.21","127,351","124,218","          1.03"
"대구광역시 군위군 (2772000000)","22,504","13,478","          1.67","11,737","10,767","          1.09"
"인천광역시  (2800000000)","3,049,203","1,405,206","          2.17","1,521,153","1,528,050","          1.00"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 제물포구 (2812500000)","98,720","50,980","          1.94","49,974","48,746","          1.03"
"인천광역시 영종구 (2815500000)","137,318","66,808","          2.06","71,083","66,235","          1.07"
"인천광역시 미추홀구 (2817700000)","416,358","205,700","          2.02","209,160","207,198","          1.01"
"인천광역시 연수구 (2818500000)","408,540","168,275","          2.43","202,125","206,415","          0.98"
"인천광역시 남동구 (2820000000)","476,168","225,279","          2.11","235,694","240,474","          0.98"
"인천광역시 부평구 (2823700000)","485,284","224,858","          2.16","237,862","247,422","          0.96"
"인천광역시 계양구 (2824500000)","274,790","128,248","          2.14","136,483","138,307","          0.99"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 서해구 (2827500000)","390,542","175,027","          2.23","196,266","194,276","          1.01"
"인천광역시 검단구 (2829000000)","272,949","111,735","          2.44","136,788","136,161","          1.00"
"인천광역시 강화군 (2871000000)","69,282","36,157","          1.92","34,722","34,560","          1.00"
"인천광역시 옹진군 (2872000000)","19,252","12,139","          1.59","10,996","8,256","          1.33"
"대전광역시  (3000000000)","1,437,328","701,411","          2.05","715,183","722,145","          0.99"
"대전광역시 동구 (3011000000)","217,293","113,184","          1.92","109,275","108,018","          1.01"
"대전광역시 중구 (3014000000)","223,188","109,233","          2.04","108,881","114,307","          0.95"
"대전광역시 서구 (3017000000)","462,784","223,877","          2.07","226,429","236,355","          0.96"
"대전광역시 유성구 (3020000000)","370,837","174,451","          2.13","187,895","182,942","          1.03"
"대전광역시 대덕구 (3023000000)","163,226","80,666","          2.02","82,703","80,523","          1.03"
"울산광역시  (3100000000)","1,083,947","499,539","          2.17","558,435","525,512","          1.06"
"울산광역시 중구 (3111000000)","202,307","94,738","          2.14","102,133","100,174","          1.02"
"울산광역시 남구 (3114000000)","303,419","143,309","          2.12","155,225","148,194","          1.05"
"울산광역시 동구 (3117000000)","147,245","68,151","          2.16","77,055","70,190","          1.10"
"울산광역시 북구 (3120000000)","213,144","90,152","          2.36","110,965","102,179","          1.09"
"울산광역시 울주군 (3171000000)","217,832","103,189","          2.11","113,057","104,775","          1.08"
"세종특별자치시  (3600000000)","390,229","165,445","          2.36","194,317","195,912","          0.99"
"세종특별자치시  (3611000000)","390,229","165,445","          2.36","194,317","195,912","          0.99"
"경기도  (4100000000)","13,706,605","6,138,280","          2.23","6,877,564","6,829,041","          1.01"
"경기도 수원시 (4111000000)","1,180,110","541,784","          2.18","591,705","588,405","          1.01"
"경기도 수원시 장안구 (4111100000)","268,519","122,109","          2.20","134,527","133,992","          1.00"
"경기도 수원시 권선구 (4111300000)","358,865","165,569","          2.17","180,720","178,145","          1.01"
"경기도 수원시 팔달구 (4111500000)","192,040","97,949","          1.96","96,166","95,874","          1.00"
"경기도 수원시 영통구 (4111700000)","360,686","156,157","          2.31","180,292","180,394","          1.00"
"경기도 성남시 (4113000000)","895,642","405,264","          2.21","441,928","453,714","          0.97"
"경기도 성남시 수정구 (4113100000)","233,732","116,739","          2.00","117,992","115,740","          1.02"
"경기도 성남시 중원구 (4113300000)","197,990","97,489","          2.03","99,480","98,510","          1.01"
"경기도 성남시 분당구 (4113500000)","463,920","191,036","          2.43","224,456","239,464","          0.94"
"경기도 의정부시 (4115000000)","459,526","212,214","          2.17","225,155","234,371","          0.96"
"경기도 안양시 (4117000000)","559,745","239,354","          2.34","275,642","284,103","          0.97"
"경기도 안양시 만안구 (4117100000)","232,998","105,710","          2.20","115,887","117,111","          0.99"
"경기도 안양시 동안구 (4117300000)","326,747","133,644","          2.44","159,755","166,992","          0.96"
"경기도 부천시 (4119000000)","751,353","341,562","          2.20","369,430","381,923","          0.97"
"경기도 부천시 원미구 (4119200000)","380,243","173,665","          2.19","186,001","194,242","          0.96"
"경기도 부천시 소사구 (4119400000)","223,109","98,264","          2.27","109,002","114,107","          0.96"
"경기도 부천시 오정구 (4119600000)","148,001","69,633","          2.13","74,427","73,574","          1.01"
"경기도 광명시 (4121000000)","302,628","127,193","          2.38","148,054","154,574","          0.96"
"경기도 평택시 (4122000000)","617,903","297,787","          2.07","325,090","292,813","          1.11"
"경기도 송탄출장소 (4122200000)","0","0","          0.00","0","0","          0.00"
"경기도 안중출장소 (4122400000)","0","0","          0.00","0","0","          0.00"
"경기도 동두천시 (4125000000)","85,537","43,313","          1.97","42,590","42,947","          0.99"
"경기도 안산시 (4127000000)","605,556","286,595","          2.11","309,701","295,855","          1.05"
"경기도 안산시 상록구 (4127100000)","318,682","150,850","          2.11","162,533","156,149","          1.04"
"경기도 안산시 단원구 (4127300000)","286,874","135,745","          2.11","147,168","139,706","          1.05"
"경기도 고양시 (4128000000)","1,051,023","464,479","          2.26","510,727","540,296","          0.95"
"경기도 고양시 덕양구 (4128100000)","480,355","217,666","          2.21","235,039","245,316","          0.96"
"경기도 고양시 일산동구 (4128500000)","296,086","133,175","          2.22","143,329","152,757","          0.94"
"경기도 고양시 일산서구 (4128700000)","274,582","113,638","          2.42","132,359","142,223","          0.93"
"경기도 과천시 (4129000000)","80,608","29,460","          2.74","39,264","41,344","          0.95"
"경기도 구리시 (4131000000)","187,164","82,792","          2.26","92,568","94,596","          0.98"
"경기도 남양주시 (4136000000)","724,303","307,338","          2.36","357,468","366,835","          0.97"
"경기도 풍양출장소 (4136200000)","0","0","          0.00","0","0","          0.00"
"경기도 오산시 (4137000000)","253,712","117,609","          2.16","132,314","121,398","          1.09"
"경기도 시흥시 (4139000000)","512,758","230,004","          2.23","266,537","246,221","          1.08"
"경기도 군포시 (4141000000)","248,228","111,099","          2.23","122,902","125,326","          0.98"
"경기도 의왕시 (4143000000)","165,036","68,217","          2.42","81,414","83,622","          0.97"
"경기도 하남시 (4145000000)","326,217","140,278","          2.33","161,694","164,523","          0.98"
"경기도 용인시 (4146000000)","1,085,460","447,798","          2.42","537,718","547,742","          0.98"
"경기도 용인시 처인구 (4146100000)","286,304","131,249","          2.18","146,515","139,789","          1.05"
"경기도 용인시 기흥구 (4146300000)","432,384","176,810","          2.45","212,781","219,603","          0.97"
"경기도 용인시 수지구 (4146500000)","366,772","139,739","          2.62","178,422","188,350","          0.95"
"경기도 파주시 (4148000000)","532,338","236,715","          2.25","267,700","264,638","          1.01"
"경기도 이천시 (4150000000)","225,193","109,561","          2.06","117,666","107,527","          1.09"
"경기도 안성시 (4155000000)","198,626","98,762","          2.01","102,768","95,858","          1.07"
"경기도 김포시 (4157000000)","481,874","206,802","          2.33","240,160","241,714","          0.99"
"경기도 화성시 (4159000000)","997,198","432,155","          2.31","516,378","480,820","          1.07"
"경기도 화성시 만세구 (4159100000)","233,685","116,151","          2.01","127,363","106,322","          1.20"
"경기도 화성시 효행구 (4159300000)","160,362","71,570","          2.24","82,646","77,716","          1.06"
"경기도 화성시 병점구 (4159500000)","174,595","75,484","          2.31","90,271","84,324","          1.07"
"경기도 화성시 동탄구 (4159700000)","428,556","168,950","          2.54","216,098","212,458","          1.02"
"경기도 광주시 (4161000000)","398,659","177,019","          2.25","202,794","195,865","          1.04"
"경기도 양주시 (4163000000)","296,240","132,681","          2.23","148,666","147,574","          1.01"
"경기도 포천시 (4165000000)","139,891","73,971","          1.89","74,011","65,880","          1.12"
"경기도 여주시 (4167000000)","113,029","56,887","          1.99","57,618","55,411","          1.04"
"경기도 연천군 (4180000000)","42,909","22,801","          1.88","22,537","20,372","          1.11"
"경기도 가평군 (4182000000)","61,762","33,113","          1.87","31,733","30,029","          1.06"
"경기도 양평군 (4183000000)","126,377","63,673","          1.98","63,632","62,745","          1.01"
"강원특별자치도  (5100000000)","1,502,270","771,668","          1.95","755,516","746,754","          1.01"
"강원특별자치도 춘천시 (5111000000)","283,790","138,610","          2.05","139,709","144,081","          0.97"
"강원특별자치도 원주시 (5113000000)","363,895","177,686","          2.05","180,091","183,804","          0.98"
"강원특별자치도 강릉시 (5115000000)","204,945","105,392","          1.94","101,574","103,371","          0.98"
"강원특별자치도 동해시 (5117000000)","85,315","43,324","          1.97","43,223","42,092","          1.03"
"강원특별자치도 태백시 (5119000000)","36,664","20,034","          1.83","18,551","18,113","          1.02"
"강원특별자치도 속초시 (5121000000)","78,645","40,895","          1.92","38,854","39,791","          0.98"
"강원특별자치도 삼척시 (5123000000)","59,985","33,274","          1.80","30,677","29,308","          1.05"
"강원특별자치도 홍천군 (5172000000)","65,616","34,953","          1.88","33,830","31,786","          1.06"
"강원특별자치도 횡성군 (5173000000)","45,373","24,116","          1.88","23,511","21,862","          1.08"
"강원특별자치도 영월군 (5175000000)","35,545","20,665","          1.72","18,437","17,108","          1.08"
"강원특별자치도 평창군 (5176000000)","39,726","22,172","          1.79","20,634","19,092","          1.08"
"강원특별자치도 정선군 (5177000000)","35,054","20,395","          1.72","18,438","16,616","          1.11"
"강원특별자치도 철원군 (5178000000)","39,575","20,229","          1.96","20,415","19,160","          1.07"
"강원특별자치도 화천군 (5179000000)","22,717","12,208","          1.86","12,199","10,518","          1.16"
"강원특별자치도 양구군 (5180000000)","20,338","10,452","          1.95","10,710","9,628","          1.11"
"강원특별자치도 인제군 (5181000000)","30,714","16,650","          1.84","16,838","13,876","          1.21"
"강원특별자치도 고성군 (5182000000)","27,121","15,540","          1.75","13,893","13,228","          1.05"
"강원특별자치도 양양군 (5183000000)","27,252","15,073","          1.81","13,932","13,320","          1.05"
"충청북도  (4300000000)","1,596,845","804,434","          1.99","814,001","782,844","          1.04"
"충청북도 청주시 (4311000000)","857,536","413,008","          2.08","433,657","423,879","          1.02"
"충청북도 청주시 상당구 (4311100000)","192,375","89,127","          2.16","95,442","96,933","          0.98"
"충청북도 청주시 서원구 (4311200000)","187,267","92,048","          2.03","93,260","94,007","          0.99"
"충청북도 청주시 흥덕구 (4311300000)","292,277","141,008","          2.07","149,212","143,065","          1.04"
"충청북도 청주시 청원구 (4311400000)","185,617","90,825","          2.04","95,743","89,874","          1.07"
"충청북도 충주시 (4313000000)","205,247","104,861","          1.96","104,161","101,086","          1.03"
"충청북도 제천시 (4315000000)","127,746","66,913","          1.91","64,481","63,265","          1.02"
"충청북도 보은군 (4372000000)","31,420","17,391","          1.81","16,014","15,406","          1.04"
"충청북도 옥천군 (4373000000)","50,549","26,620","          1.90","25,704","24,845","          1.03"
"충청북도 영동군 (4374000000)","42,929","23,830","          1.80","21,701","21,228","          1.02"
"충청북도 증평군 (4374500000)","36,658","19,101","          1.92","19,101","17,557","          1.09"
"충청북도 진천군 (4375000000)","85,388","43,269","          1.97","45,181","40,207","          1.12"
"충청북도 괴산군 (4376000000)","37,187","22,034","          1.69","19,293","17,894","          1.08"
"충청북도 음성군 (4377000000)","95,694","52,239","          1.83","51,147","44,547","          1.15"
"충청북도 단양군 (4380000000)","26,491","15,168","          1.75","13,561","12,930","          1.05"
"충청남도  (4400000000)","2,132,742","1,067,135","          2.00","1,094,972","1,037,770","          1.06"
"충청남도 천안시 (4413000000)","664,113","320,130","          2.07","340,369","323,744","          1.05"
"충청남도 천안시 동남구 (4413100000)","262,794","128,807","          2.04","133,048","129,746","          1.03"
"충청남도 천안시 서북구 (4413300000)","401,319","191,323","          2.10","207,321","193,998","          1.07"
"충청남도 공주시 (4415000000)","99,357","53,819","          1.85","49,562","49,795","          1.00"
"충청남도 보령시 (4418000000)","90,915","48,759","          1.86","46,090","44,825","          1.03"
"충청남도 아산시 (4420000000)","363,241","170,727","          2.13","189,363","173,878","          1.09"
"충청남도 서산시 (4421000000)","170,687","83,974","          2.03","89,344","81,343","          1.10"
"충청남도 논산시 (4423000000)","105,533","56,654","          1.86","53,008","52,525","          1.01"
"충청남도 계룡시 (4425000000)","45,883","19,620","          2.34","22,793","23,090","          0.99"
"충청남도 당진시 (4427000000)","172,024","86,458","          1.99","92,512","79,512","          1.16"
"충청남도 금산군 (4471000000)","48,716","26,664","          1.83","24,798","23,918","          1.04"
"충청남도 부여군 (4476000000)","57,573","31,878","          1.81","28,682","28,891","          0.99"
"충청남도 서천군 (4477000000)","46,494","25,953","          1.79","23,156","23,338","          0.99"
"충청남도 청양군 (4479000000)","29,959","16,996","          1.76","15,419","14,540","          1.06"
"충청남도 홍성군 (4480000000)","101,501","51,177","          1.98","50,855","50,646","          1.00"
"충청남도 예산군 (4481000000)","77,939","41,021","          1.90","39,189","38,750","          1.01"
"충청남도 태안군 (4482500000)","58,807","33,305","          1.77","29,832","28,975","          1.03"
"전북특별자치도  (5200000000)","1,713,026","870,224","          1.97","853,414","859,612","          0.99"
"전북특별자치도 전주시 (5211000000)","618,211","296,345","          2.09","302,976","315,235","          0.96"
"전북특별자치도 전주시 완산구 (5211100000)","312,068","152,216","          2.05","151,074","160,994","          0.94"
"전북특별자치도 전주시 덕진구 (5211300000)","306,143","144,129","          2.12","151,902","154,241","          0.98"
"전북특별자치도 군산시 (5213000000)","254,737","126,504","          2.01","129,251","125,486","          1.03"
"전북특별자치도 익산시 (5214000000)","265,649","133,381","          1.99","132,024","133,625","          0.99"
"전북특별자치도 정읍시 (5218000000)","100,392","54,475","          1.84","50,167","50,225","          1.00"
"전북특별자치도 남원시 (5219000000)","73,585","39,784","          1.85","36,193","37,392","          0.97"
"전북특별자치도 김제시 (5221000000)","81,480","44,644","          1.83","40,882","40,598","          1.01"
"전북특별자치도 완주군 (5271000000)","100,163","50,287","          1.99","51,435","48,728","          1.06"
"전북특별자치도 진안군 (5272000000)","24,798","14,102","          1.76","12,677","12,121","          1.05"
"전북특별자치도 무주군 (5273000000)","23,378","13,404","          1.74","11,799","11,579","          1.02"
"전북특별자치도 장수군 (5274000000)","21,148","11,917","          1.77","10,680","10,468","          1.02"
"전북특별자치도 임실군 (5275000000)","25,270","14,808","          1.71","13,126","12,144","          1.08"
"전북특별자치도 순창군 (5277000000)","27,582","15,068","          1.83","13,697","13,885","          0.99"
"전북특별자치도 고창군 (5279000000)","49,858","28,243","          1.77","25,067","24,791","          1.01"
"전북특별자치도 부안군 (5280000000)","46,775","27,262","          1.72","23,440","23,335","          1.00"
"경상북도  (4700000000)","2,488,115","1,298,463","          1.92","1,259,700","1,228,415","          1.03"
"경상북도 포항시 (4711000000)","485,806","239,494","          2.03","245,988","239,818","          1.03"
"경상북도 포항시 남구 (4711100000)","210,931","107,755","          1.96","109,330","101,601","          1.08"
"경상북도 포항시 북구 (4711300000)","274,875","131,739","          2.09","136,658","138,217","          0.99"
"경상북도 경주시 (4713000000)","242,142","126,574","          1.91","121,236","120,906","          1.00"
"경상북도 김천시 (4715000000)","132,263","68,880","          1.92","66,684","65,579","          1.02"
"경상북도 안동시 (4717000000)","151,305","81,172","          1.86","75,017","76,288","          0.98"
"경상북도 구미시 (4719000000)","401,590","194,253","          2.07","207,613","193,977","          1.07"
"경상북도 영주시 (4721000000)","96,139","51,212","          1.88","47,817","48,322","          0.99"
"경상북도 영천시 (4723000000)","93,657","53,466","          1.75","47,850","45,807","          1.04"
"경상북도 상주시 (4725000000)","88,907","48,742","          1.82","43,984","44,923","          0.98"
"경상북도 문경시 (4728000000)","64,439","35,865","          1.80","31,726","32,713","          0.97"
"경상북도 경산시 (4729000000)","262,395","132,766","          1.98","131,631","130,764","          1.01"
"경상북도 의성군 (4773000000)","47,819","29,166","          1.64","24,080","23,739","          1.01"
"경상북도 청송군 (4775000000)","24,400","14,453","          1.69","12,375","12,025","          1.03"
"경상북도 영양군 (4776000000)","15,954","9,194","          1.74","8,065","7,889","          1.02"
"경상북도 영덕군 (4777000000)","32,460","19,339","          1.68","15,622","16,838","          0.93"
"경상북도 청도군 (4782000000)","39,902","23,656","          1.69","20,013","19,889","          1.01"
"경상북도 고령군 (4783000000)","29,411","17,319","          1.70","15,218","14,193","          1.07"
"경상북도 성주군 (4784000000)","40,286","23,855","          1.69","21,139","19,147","          1.10"
"경상북도 칠곡군 (4785000000)","103,199","53,260","          1.94","54,370","48,829","          1.11"
"경상북도 예천군 (4790000000)","53,237","27,771","          1.92","26,362","26,875","          0.98"
"경상북도 봉화군 (4792000000)","27,940","16,354","          1.71","14,306","13,634","          1.05"
"경상북도 울진군 (4793000000)","46,112","26,142","          1.76","23,678","22,434","          1.06"
"경상북도 울릉군 (4794000000)","8,752","5,530","          1.58","4,926","3,826","          1.29"
"경상남도  (4800000000)","3,185,439","1,551,467","          2.05","1,606,076","1,579,363","          1.02"
"경상남도 창원시 (4812000000)","983,153","462,187","          2.13","497,067","486,086","          1.02"
"경상남도 창원시 의창구 (4812100000)","209,308","99,175","          2.11","106,338","102,970","          1.03"
"경상남도 창원시 성산구 (4812300000)","244,460","109,285","          2.24","124,656","119,804","          1.04"
"경상남도 창원시 마산합포구 (4812500000)","173,837","86,327","          2.01","85,959","87,878","          0.98"
"경상남도 창원시 마산회원구 (4812700000)","173,303","82,297","          2.11","86,160","87,143","          0.99"
"경상남도 창원시 진해구 (4812900000)","182,245","85,103","          2.14","93,954","88,291","          1.06"
"경상남도 진주시 (4817000000)","333,800","163,141","          2.05","164,918","168,882","          0.98"
"경상남도 통영시 (4822000000)","115,598","59,226","          1.95","58,056","57,542","          1.01"
"경상남도 사천시 (4824000000)","107,548","56,454","          1.91","54,626","52,922","          1.03"
"경상남도 사천남양출장소 (4824500000)","0","0","          0.00","0","0","          0.00"
"경상남도 김해시 (4825000000)","531,406","240,139","          2.21","268,550","262,856","          1.02"
"경상남도 장유출장소 (4825200000)","0","0","          0.00","0","0","          0.00"
"경상남도 밀양시 (4827000000)","98,168","54,088","          1.81","48,778","49,390","          0.99"
"경상남도 거제시 (4831000000)","228,091","106,736","          2.14","119,831","108,260","          1.11"
"경상남도 양산시 (4833000000)","360,462","166,516","          2.16","180,492","179,970","          1.00"
"경상남도 양산시웅상출장소 (4833200000)","0","0","          0.00","0","0","          0.00"
"경상남도 의령군 (4872000000)","24,468","14,833","          1.65","12,266","12,202","          1.01"
"경상남도 함안군 (4873000000)","56,597","29,760","          1.90","29,114","27,483","          1.06"
"경상남도 창녕군 (4874000000)","54,220","31,603","          1.72","27,272","26,948","          1.01"
"경상남도 고성군 (4882000000)","46,678","26,343","          1.77","23,735","22,943","          1.03"
"경상남도 남해군 (4884000000)","41,023","23,116","          1.77","20,080","20,943","          0.96"
"경상남도 하동군 (4885000000)","39,405","23,133","          1.70","19,832","19,573","          1.01"
"경상남도 산청군 (4886000000)","32,554","19,542","          1.67","16,239","16,315","          1.00"
"경상남도 함양군 (4887000000)","35,043","20,133","          1.74","17,194","17,849","          0.96"
"경상남도 거창군 (4888000000)","58,611","31,279","          1.87","28,858","29,753","          0.97"
"경상남도 합천군 (4889000000)","38,614","23,238","          1.66","19,168","19,446","          0.99"
"제주특별자치도  (5000000000)","659,093","314,850","          2.09","329,246","329,847","          1.00"
"제주특별자치도 제주시 (5011000000)","481,486","226,460","          2.13","239,844","241,642","          0.99"
"제주특별자치도 서귀포시 (5013000000)","177,607","88,390","          2.01","89,402","88,205","          1.01"
